round_number,team_name,archetype,active_product_count,active_project_count,launch_ready_project_count,launched_project_count,retired_product_count,total_forecast_units,total_actual_demand_units,forecast_error_units,absolute_forecast_error_units,forecast_wape,service_gap_units,weighted_average_selling_price,planned_production_units,actual_production_units,effective_capacity_units,utilization_pct,weighted_material_unit_cost,defect_rate,good_units_produced,demand_allocated,sales_units,lost_sales_units,backlog_units_end,ending_inventory,ending_raw_material_inventory,fill_rate,revenue,procurement_cost,production_cost,holding_cost,warranty_cost,backlog_cost,expansion_cost,innovation_investment,interest_expense,working_capital_requirement,planned_borrowing_amount,automatic_borrowing_amount,ending_cash_balance,short_term_debt_balance,liquidity_stress_flag,total_cost,profit,contribution_margin_per_unit,reputation_after_round,average_portfolio_tech_generation,cannibalized_demand_units,beginning_finished_goods_inventory,beginning_raw_material_inventory,raw_material_units_received,raw_material_units_consumed,raw_material_order_qty,backlog_units_start,launch_events_text,notes,run_id,team_count,market_scenario,market_label
10,Team 05,Premium Quality,1,0,0,1,1,36,141.78,105.78,105.78,0.7461,107,144.9,35,35,345,10.14,53.66,0.0173,34,141.78,34,103,4,0,158,0.2398,4926.6,1770.78,2559.9,316.0,26.44,40.0,576.0,0,1540.0,18978.28,7000.0,0.0,110618.88,70000.0,True,6829.12,-1902.52,16.75,0.0,2.33,0.0,0,160,33,35,33,0,"Launched Team 05 NextGen into slot C, replacing Team 05 NextGen","Launched Team 05 NextGen into slot C, replacing Team 05 NextGen Portfolio forecast WAPE was 74.61% against realized demand. Lost 103 sales units across the portfolio. Carried 4 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round.",70,6,batch_070,Batch market 070
10,Team 06,Sponsorship Growth,3,1,0,0,0,219,339.65,120.65,120.65,0.3552,162,142.59,238,195,323,60.37,46.53,0.0256,189,339.65,189,149,13,0,0,0.5359,26950.44,9073.35,11792.79,0.0,217.55,130.0,0.0,750.0,0.0,0.0,0.0,0.0,107006.11,0.0,False,21963.69,4986.75,31.04,14.22,2.0,10.27,0,0,195,195,195,13,,Portfolio forecast WAPE was 35.52% against realized demand. Lost 149 sales units across the portfolio. Carried 13 backlog units into next round.,70,6,batch_070,Batch market 070
1,Team 01,Premium Quality,2,1,0,0,0,180,197.06,17.06,17.06,0.0866,22,182.83,176,176,273,64.47,46.84,0.005,174,197.06,174,4,18,0,84,0.883,31812.9,7822.28,11011.48,168.0,39.16,180.0,576.0,9000.0,154.0,4984.56,7000.0,0.0,35445.98,7000.0,False,28950.92,2861.98,74.37,68.0,2.0,0.0,0,260,0,176,167,0,,"Portfolio forecast WAPE was 8.66% against realized demand. Lost 4 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing.",71,6,batch_071,Batch market 071
1,Team 02,Sponsorship Growth,3,1,0,0,0,237,297.08,60.08,60.08,0.2022,48,142.84,258,258,323,79.88,40.61,0.0261,250,297.08,248,34,14,2,62,0.8348,35424.6,8609.32,13689.8,136.0,291.17,140.0,0.0,750.0,0.0,2705.16,0.0,0.0,40992.31,0.0,False,23616.29,11808.31,51.75,59.13,2.0,0.0,0,320,0,258,212,0,,Portfolio forecast WAPE was 20.22% against realized demand. Lost 34 sales units across the portfolio. Carried 14 backlog units into next round.,71,6,batch_071,Batch market 071
1,Team 03,Engineering Challenger,2,1,0,0,0,278,201.73,-76.27,76.27,0.3781,0,160.59,236,236,334,70.66,41.31,0.0058,234,201.73,201,0,0,33,54,0.9964,32279.04,12682.17,14624.94,306.0,51.17,0.0,2520.0,4000.0,220.0,7138.98,10000.0,0.0,35018.76,10000.0,False,34404.28,-2125.24,24.48,62.64,2.0,0.0,0,290,0,236,307,0,,"Portfolio forecast WAPE was 37.81% against realized demand. Used $10,000.00 of planned borrowing.",71,6,batch_071,Batch market 071
1,Team 04,Low-Cost Volume,3,1,0,0,0,355,276.45,-78.55,99.33,0.3593,12,109.99,363,363,437,83.07,35.17,0.0382,348,276.45,263,0,12,85,57,0.9513,28927.8,12766.71,15606.36,624.0,458.75,120.0,1512.0,3000.0,0.0,8648.52,0.0,0.0,24071.98,0.0,False,34087.82,-5160.02,0.36,47.64,1.33,13.18,0,420,0,363,363,0,,Portfolio forecast WAPE was 35.93% against realized demand. Carried 12 backlog units into next round.,71,6,batch_071,Batch market 071
1,Team 05,Community / Club,3,1,0,0,0,362,285.19,-76.81,100.15,0.3512,30,112.1,335,300,336,89.29,30.84,0.0327,289,285.19,253,0,30,36,0,0.8871,28360.64,12798.6,14514.28,216.0,369.4,300.0,1944.0,1500.0,77.0,3376.95,3500.0,0.0,23181.36,3500.0,False,31719.28,-3358.64,2.68,58.92,1.67,14.39,0,300,0,300,415,0,,"Portfolio forecast WAPE was 35.12% against realized demand. Carried 30 backlog units into next round. Used $3,500.00 of planned borrowing.",71,6,batch_071,Batch market 071
1,Team 06,Premium Quality,2,1,0,0,0,200,200.51,0.51,9.37,0.0467,5,174.41,200,200,276,72.46,44.08,0.005,198,200.51,194,0,5,4,60,0.9675,33836.0,9521.28,12418.05,144.0,43.65,50.0,720.0,2500.0,22.0,3219.48,1000.0,0.0,35001.02,1000.0,False,25418.98,8417.02,61.1,70.13,2.0,0.0,0,260,0,200,216,0,,"Portfolio forecast WAPE was 4.67% against realized demand. Carried 5 backlog units into next round. Used $1,000.00 of planned borrowing.",71,6,batch_071,Batch market 071
2,Team 01,Premium Quality,2,1,0,0,0,180,211.25,31.25,31.25,0.1479,54,182.83,176,176,281,62.63,47.84,0.005,174,211.25,174,36,18,0,75,0.759,31812.9,7989.28,11220.92,150.0,39.16,180.0,576.0,9000.0,308.0,5688.0,7000.0,0.0,44795.52,14000.0,True,29463.36,2349.54,72.2,64.82,2.0,0.0,0,84,167,176,167,18,,"Portfolio forecast WAPE was 14.79% against realized demand. Lost 36 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round.",71,6,batch_071,Batch market 071
2,Team 02,Sponsorship Growth,3,1,0,0,0,237,298.26,61.26,61.26,0.2054,59,142.94,258,258,323,79.88,41.48,0.0239,250,298.26,252,45,14,0,16,0.807,36020.28,8793.76,13963.28,32.0,270.69,140.0,0.0,750.0,0.0,663.68,0.0,0.0,53062.86,0.0,False,23949.73,12070.55,51.56,55.56,2.0,6.67,2,62,212,258,212,14,,Portfolio forecast WAPE was 20.54% against realized demand. Lost 45 sales units across the portfolio. Carried 14 backlog units into next round.,71,6,batch_071,Batch market 071
