run_id,team_count,round_count,strategy_offset,archetype_offset,market_scenario,team_name,archetype,strategy_key,strategy_label,profit_rank,balanced_rank,balanced_score,profit,revenue,total_cost,sales_units,fill_rate,forecast_wape,ending_cash_balance,short_term_debt_balance,cash_minus_debt,liquidity_stress_flag,reputation_after_round,lost_sales_units,backlog_units_end,ending_inventory
82,4,4,2,3,batch_082,Team 02,Community / Club,innovation_leap,Innovation leap,3,4,12.0,2119.14,30550.8,28431.66,231,0.3444,0.6268,63292.14,28000.0,35292.14,True,0.0,419,19,0
82,4,4,2,3,batch_082,Team 04,Sponsorship Growth,aggressive_growth,Aggressive growth,4,3,32.0,1504.24,48497.28,46993.04,361,0.4761,0.3538,78304.66,40000.0,38304.66,True,14.31,316,79,0
83,6,4,2,2,batch_083,Team 03,Community / Club,cash_conservative,Cash conservative,1,2,72.0,10660.6,25836.6,15176.0,201,0.7469,0.2472,56369.75,0.0,56369.75,False,45.53,55,12,80
83,6,4,2,2,batch_083,Team 01,Engineering Challenger,balanced_sop,Balanced S&OP,2,1,76.0,8955.99,33116.0,24160.01,199,0.9956,0.0958,50666.73,4000.0,46666.73,True,76.27,0,0,112
83,6,4,2,2,batch_083,Team 02,Low-Cost Volume,innovation_leap,Innovation leap,3,5,20.0,7961.83,35595.11,27633.28,215,0.8246,0.6123,22574.05,28000.0,-5425.950000000001,True,40.43,10,34,249
83,6,4,2,2,batch_083,Team 05,Sponsorship Growth,premium_quality,Premium quality,4,3,52.0,6850.86,40633.92,33783.06,267,0.9094,0.1381,45025.89,0.0,45025.89,False,74.8,2,23,193
83,6,4,2,2,batch_083,Team 06,Engineering Challenger,low_cost_volume,Low-cost volume,5,4,36.0,250.82,29180.8,28929.98,200,0.9971,0.3162,39738.75,14000.0,25738.75,True,73.03,0,0,84
83,6,4,2,2,batch_083,Team 04,Premium Quality,aggressive_growth,Aggressive growth,6,6,12.0,-2390.52,33778.56,36169.08,199,0.9946,0.3894,43312.53,40000.0,3312.529999999999,True,83.41,0,0,256
84,7,4,3,3,batch_084,Team 04,Sponsorship Growth,premium_quality,Premium quality,1,1,73.3,7284.94,42951.6,35666.66,284,0.6488,0.3176,61229.24,0.0,61229.24,False,50.39,129,23,0
84,7,4,3,3,batch_084,Team 02,Community / Club,cash_conservative,Cash conservative,2,3,50.0,6825.49,22996.92,16171.43,179,0.4844,0.4378,60436.7,0.0,60436.7,False,26.82,178,12,0
84,7,4,3,3,batch_084,Team 05,Engineering Challenger,low_cost_volume,Low-cost volume,3,2,73.3,3438.86,35088.24,31649.38,242,0.762,0.0929,41661.99,14000.0,27661.989999999998,False,45.78,21,53,0
84,7,4,3,3,batch_084,Team 01,Low-Cost Volume,innovation_leap,Innovation leap,4,4,48.7,1493.73,39707.43,38213.7,323,0.8048,0.1507,31934.59,28000.0,3934.59,True,32.84,43,34,53
84,7,4,3,3,batch_084,Team 03,Premium Quality,aggressive_growth,Aggressive growth,5,5,38.7,189.85,38643.84,38453.99,231,0.7074,0.1766,65666.38,40000.0,25666.380000000005,True,68.87,44,50,63
