run_id,team_count,round_count,market_scenario,team_name,archetype,strategy_key,strategy_label,profit_rank,balanced_rank,balanced_score,profit,revenue,total_cost,sales_units,fill_rate,forecast_wape,ending_cash_balance,short_term_debt_balance,cash_minus_debt,liquidity_stress_flag,reputation_after_round,lost_sales_units,backlog_units_end,ending_inventory
39,8,4,batch_039,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,8,8,12.0,-3018.5,42488.16,45506.66,341,0.9406,0.4845,481.5,21263.66,-20782.16,True,0.0,0,20,27
40,9,4,batch_040,Team 07,Sponsorship Growth,premium_quality,Premium quality,1,1,87.5,12864.88,44400.96,31536.08,296,0.8283,0.1536,67924.41,0.0,67924.41,False,64.21,37,23,76
40,9,4,batch_040,Team 01,Premium Quality,premium_quality,Premium quality,2,2,75.0,11814.31,34361.28,22546.97,183,0.7848,0.1788,69085.26,0.0,69085.26,False,74.3,35,14,35
40,9,4,batch_040,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,3,3,72.5,10313.95,32617.0,22303.05,198,0.7961,0.1099,61884.29,4000.0,57884.29,False,56.58,26,24,0
40,9,4,batch_040,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,4,8,24.5,9318.0,35585.13,26267.13,238,0.7613,0.5277,34919.54,28000.0,6919.540000000001,True,31.67,39,34,193
40,9,4,batch_040,Team 05,Community / Club,cash_conservative,Cash conservative,5,5,40.0,8911.43,22996.92,14085.49,179,0.587,0.3138,53198.41,0.0,53198.41,False,17.06,113,12,0
40,9,4,batch_040,Team 08,Engineering Challenger,low_cost_volume,Low-cost volume,6,4,44.5,7407.7,34957.12,27549.42,241,0.8936,0.2183,31995.72,14000.0,17995.72,True,25.69,0,28,0
40,9,4,batch_040,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,7,6,35.0,2335.28,43260.8,40925.52,345,0.9307,0.4426,6713.26,14000.0,-7286.74,False,0.0,0,24,23
40,9,4,batch_040,Team 06,Premium Quality,aggressive_growth,Aggressive growth,8,7,32.0,2211.63,35798.4,33586.77,212,0.8466,0.2556,64126.18,40000.0,24126.18,True,61.43,0,37,31
40,9,4,batch_040,Team 09,Low-Cost Volume,balanced_sop,Balanced S&OP,9,9,7.0,-6863.67,26366.0,33229.67,256,0.814,0.4824,5888.73,4000.0,1888.7299999999996,True,25.09,12,46,276
