run_id,team_count,round_count,market_scenario,market_label,demand_multiplier,demand_growth_delta,premium_share_shift,mid_share_shift,beginner_share_shift,material_cost_index_delta,supply_risk,quality_sensitivity_delta,technology_shift_delta,market_generation_offset,beginner_price_pressure_delta,profit_winner,profit_winner_strategy,profit_winner_profit,balanced_winner,balanced_winner_strategy,balanced_winner_score,service_winner,forecast_winner,cash_winner,average_profit,liquidity_stress_team_count
53,4,4,batch_053,Batch market 053,0.9972,0.0169,-0.0571,-0.0881,-0.0978,0.0276,Moderate,0.2011,0.312,1,0.0728,Team 01,Premium quality,10318.92,Team 01,Premium quality,60.0,Team 04,Team 02,Team 01,6343.22,1
54,6,4,batch_054,Batch market 054,1.3004,0.0181,-0.0079,-0.02,-0.1166,0.1024,Low,0.1387,-0.009,0,-0.0185,Team 01,Premium quality,9101.81,Team 01,Premium quality,72.0,Team 02,Team 06,Team 01,5690.19,2
55,7,4,batch_055,Batch market 055,1.3379,0.0741,-0.0792,-0.0737,-0.0587,0.0541,Moderate,0.1217,0.2269,0,0.3525,Team 07,Premium quality,11939.09,Team 07,Premium quality,80.0,Team 02,Team 06,Team 07,7355.6,2
56,7,4,batch_056,Batch market 056,1.1992,-0.0289,0.103,0.0038,-0.1241,0.2072,High,0.2744,0.3438,0,-0.0704,Team 01,Premium quality,5776.11,Team 01,Premium quality,80.0,Team 02,Team 03,Team 01,866.68,3
57,8,4,batch_057,Batch market 057,1.6073,-0.0313,0.0031,-0.0882,0.0186,-0.0289,High,0.0184,0.027,0,0.0327,Team 07,Premium quality,12008.21,Team 07,Premium quality,91.4,Team 02,Team 03,Team 07,8083.12,3
58,6,4,batch_058,Batch market 058,1.6687,-0.0455,-0.0345,0.0723,0.084,0.1166,High,0.1707,0.3205,1,0.3304,Team 01,Premium quality,8855.25,Team 01,Premium quality,68.0,Team 02,Team 02,Team 01,3954.67,3
59,4,4,batch_059,Batch market 059,1.6008,0.0259,-0.0646,0.0422,-0.0345,0.145,Moderate,0.0155,0.0095,1,-0.08,Team 01,Premium quality,8394.38,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,2630.97,1
60,8,4,batch_060,Batch market 060,1.692,0.0578,-0.0092,0.0504,-0.0088,0.1266,Low,0.3145,-0.0054,1,0.1716,Team 01,Premium quality,8689.65,Team 01,Premium quality,68.6,Team 02,Team 08,Team 07,5145.15,2
61,5,4,batch_061,Batch market 061,0.896,0.0166,-0.082,-0.0916,-0.0809,0.0001,Moderate,0.2749,-0.0563,0,-0.0994,Team 01,Premium quality,11350.81,Team 01,Premium quality,85.0,Team 02,Team 03,Team 01,7414.62,2
62,5,4,batch_062,Batch market 062,1.6493,0.0678,-0.1345,0.0615,-0.1388,0.2295,Moderate,0.0184,-0.0795,0,0.02,Team 01,Premium quality,6995.11,Team 01,Premium quality,65.0,Team 02,Team 02,Team 05,3586.28,1
